date,usd_mxn,udi,cetes_28d_carry,tiie_28d_carry,policy_rate_carry
2021-05-17,19.8028,6.802194,125.39574094597965,127.06912223891453,125.85365815003435
2021-05-18,19.8313,6.803309,125.40988279898635,127.08426181888971,125.86764188982882
2021-05-19,19.8143,6.804425,125.42399141080122,127.09940249663806,125.88162718337215
2021-05-20,19.881,6.805541,125.43810160983493,127.1145432129605,125.89561403083698
2021-05-21,19.951,6.806658,125.45221339626602,127.12963629948726,125.90960243239597
2021-05-24,19.872,6.810007,125.4945582817296,127.17500048906581,125.95157696336479
2021-05-25,19.8903,6.811124,125.50867641953629,127.19012866190175,125.9655715830274
2021-05-26,19.8783,6.811098,125.52286587267594,127.20525545456469,125.97956775764774
2021-05-27,19.9487,6.811071,125.53705693001208,127.22039641344311,125.9935654873986
2021-05-28,19.9442,6.811045,125.55124959172612,127.23553917451622,126.00756477245277
2021-05-31,19.9213,6.810965,125.59383720494938,127.28096766756335,126.04957196116328
2021-06-01,19.8927,6.810939,125.60803628598893,127.29611056713333,126.06357746915897
2021-06-02,19.9277,6.810912,125.62206251670753,127.31125350028623,126.07758453332222
2021-06-03,20.0605,6.810886,125.63609031368857,127.32639823481722,126.09159315382594
2021-06-04,19.9328,6.810859,125.65011967710693,127.34153946567397,126.10560333084304
2021-06-07,19.797,6.810779,125.69221716773531,127.38698669955212,126.14764320270424
2021-06-08,19.7728,6.810753,125.70625279865237,127.40213690465086,126.16165960750453
2021-06-09,19.6897,6.810726,125.72035983368868,127.41730129789077,126.17567756968316
2021-06-10,19.7002,6.8107,125.73446845184779,127.4324593555649,126.18969708941312
2021-06-11,19.8823,6.811492,125.74857865330739,127.44761673864716,126.2037181668675
2021-06-14,19.9065,6.813867,125.79091875926602,127.49313157555761,126.24579074730804
2021-06-15,20.1235,6.814659,125.80503529570457,127.50830998701926,126.25981805739109
2021-06-16,20.0588,6.815451,125.81901363295967,127.52349587254896,126.27384692606414
2021-06-17,20.4292,6.816244,125.83299352336333,127.53867471087715,126.28787735350038
2021-06-18,20.7002,6.817036,125.84697496708814,127.5538571272792,126.30190933987299
2021-06-21,20.6,6.819413,125.88892861991556,127.59941628458877,126.3440146543414
